prompt_type,direct_difference,direct_correct,meta_difference,meta_correct
simple,-1.375,False,1.4375,True
instruct,-1.375,False,0.625,True
complex,-1.375,False,1.4375,True
simple,0.25,True,1.5,True
instruct,0.25,True,0.125,True
complex,0.25,True,1.3125,True
simple,-2.0,False,1.59375,True
instruct,-2.0,False,0.375,True
complex,-2.0,False,1.46875,True
simple,-1.625,False,1.5625,True
instruct,-1.625,False,1.0,True
complex,-1.625,False,1.5,True
simple,-3.5,False,1.625,True
instruct,-3.5,False,0.625,True
complex,-3.5,False,1.5,True
simple,-0.25,False,0.9375,True
instruct,-0.25,False,0.3125,True
complex,-0.25,False,1.21875,True
simple,2.125,True,1.375,True
instruct,2.125,True,0.6875,True
complex,2.125,True,1.28125,True
simple,0.25,True,1.375,True
instruct,0.25,True,0.3125,True
complex,0.25,True,1.28125,True
simple,-1.1875,False,1.375,True
instruct,-1.1875,False,0.3125,True
complex,-1.1875,False,1.375,True
simple,-2.75,False,1.375,True
instruct,-2.75,False,0.625,True
complex,-2.75,False,1.5,True
simple,-0.5,False,1.40625,True
instruct,-0.5,False,0.5625,True
complex,-0.5,False,1.25,True
simple,1.0,True,1.3125,True
instruct,1.0,True,0.125,True
complex,1.0,True,1.0625,True
simple,-2.0,False,1.40625,True
instruct,-2.0,False,0.625,True
complex,-2.0,False,1.34375,True
simple,-2.8125,False,1.375,True
instruct,-2.8125,False,0.6875,True
complex,-2.8125,False,1.15625,True
simple,-1.75,False,1.375,True
instruct,-1.75,False,0.4375,True
complex,-1.75,False,1.34375,True
simple,-1.9375,False,1.5625,True
instruct,-1.9375,False,0.75,True
complex,-1.9375,False,1.21875,True
simple,-1.0,False,1.28125,True
instruct,-1.0,False,0.3125,True
complex,-1.0,False,1.34375,True
simple,0.0,False,1.5,True
instruct,0.0,False,0.625,True
complex,0.0,False,1.4375,True
simple,0.25,True,1.375,True
instruct,0.25,True,0.5625,True
complex,0.25,True,1.34375,True
simple,-1.625,False,1.28125,True
instruct,-1.625,False,0.5,True
complex,-1.625,False,1.25,True
simple,-1.875,False,1.59375,True
instruct,-1.875,False,0.8125,True
complex,-1.875,False,1.375,True
simple,-2.0625,False,1.3125,True
instruct,-2.0625,False,0.6875,True
complex,-2.0625,False,1.3125,True
simple,-1.9375,False,1.375,True
instruct,-1.9375,False,0.375,True
complex,-1.9375,False,1.15625,True
simple,-0.125,False,1.34375,True
instruct,-0.125,False,0.4375,True
complex,-0.125,False,1.34375,True
