weak,strong,sentence,Yes,No,answer
allowed,obligatory,Smoking is allowed.,Smoking is not obligatory.,Smoking is obligatory.,Yes
allowed,obligatory,Parking is allowed.,Parking is not obligatory.,Parking is obligatory.,Yes
allowed,obligatory,Drinking is allowed.,Drinking is not obligatory.,Drinking is obligatory.,Yes
allowed,obligatory,Dancing is allowed.,Dancing is not obligatory.,Dancing is obligatory.,Yes
allowed,obligatory,Eating is allowed.,Eating is not obligatory.,Eating is obligatory.,Yes
allowed,obligatory,Photography is allowed.,Photography is not obligatory.,Photography is obligatory.,Yes
allowed,obligatory,Camping is allowed.,Camping is not obligatory.,Camping is obligatory.,Yes
allowed,obligatory,Fishing is allowed.,Fishing is not obligatory.,Fishing is obligatory.,Yes
allowed,obligatory,Swimming is allowed.,Swimming is not obligatory.,Swimming is obligatory.,Yes
allowed,obligatory,Talking is allowed.,Talking is not obligatory.,Talking is obligatory.,Yes
allowed,obligatory,Cycling is allowed.,Cycling is not obligatory.,Cycling is obligatory.,Yes
allowed,obligatory,Pets are allowed.,Pets are not obligatory.,Pets are obligatory.,Yes
allowed,obligatory,Running is allowed.,Running is not obligatory.,Running is obligatory.,Yes
allowed,obligatory,Cheering is allowed.,Cheering is not obligatory.,Cheering is obligatory.,Yes
allowed,obligatory,Singing is allowed.,Singing is not obligatory.,Singing is obligatory.,Yes
allowed,obligatory,Clapping is allowed.,Clapping is not obligatory.,Clapping is obligatory.,Yes
allowed,obligatory,Cooking is allowed.,Cooking is not obligatory.,Cooking is obligatory.,Yes
allowed,obligatory,Painting is allowed.,Painting is not obligatory.,Painting is obligatory.,Yes
allowed,obligatory,Skating is allowed.,Skating is not obligatory.,Skating is obligatory.,Yes
allowed,obligatory,Gaming is allowed.,Gaming is not obligatory.,Gaming is obligatory.,Yes
allowed,obligatory,Sitting is allowed.,Sitting is not obligatory.,Sitting is obligatory.,Yes
allowed,obligatory,Shopping is allowed.,Shopping is not obligatory.,Shopping is obligatory.,Yes
allowed,obligatory,Protesting is allowed.,Protesting is not obligatory.,Protesting is obligatory.,Yes
allowed,obligatory,Visiting is allowed.,Visiting is not obligatory.,Visiting is obligatory.,Yes
allowed,obligatory,Standing is allowed.,Standing is not obligatory.,Standing is obligatory.,Yes
allowed,obligatory,Writing is allowed.,Writing is not obligatory.,Writing is obligatory.,Yes
allowed,obligatory,Climbing is allowed.,Climbing is not obligatory.,Climbing is obligatory.,Yes
allowed,obligatory,Studying is allowed.,Studying is not obligatory.,Studying is obligatory.,Yes
allowed,obligatory,Hunting is allowed.,Hunting is not obligatory.,Hunting is obligatory.,Yes
allowed,obligatory,Yelling is allowed.,Yelling is not obligatory.,Yelling is obligatory.,Yes
allowed,obligatory,Exploring is allowed.,Exploring is not obligatory.,Exploring is obligatory.,Yes
allowed,obligatory,Flying drones is allowed.,Flying drones is not obligatory.,Flying drones is obligatory.,Yes
allowed,obligatory,Renting is allowed.,Renting is not obligatory.,Renting is obligatory.,Yes
allowed,obligatory,Recycling is allowed.,Recycling is not obligatory.,Recycling is obligatory.,Yes
allowed,obligatory,Jumping is allowed.,Jumping is not obligatory.,Jumping is obligatory.,Yes
allowed,obligatory,Filming is allowed.,Filming is not obligatory.,Filming is obligatory.,Yes
allowed,obligatory,Building is allowed.,Building is not obligatory.,Building is obligatory.,Yes
allowed,obligatory,Sharing is allowed.,Sharing is not obligatory.,Sharing is obligatory.,Yes
allowed,obligatory,Painting murals is allowed.,Painting murals is not obligatory.,Painting murals is obligatory.,Yes
allowed,obligatory,Sleeping is allowed.,Sleeping is not obligatory.,Sleeping is obligatory.,Yes
allowed,obligatory,Selling is allowed.,Selling is not obligatory.,Selling is obligatory.,Yes
allowed,obligatory,Hiking is allowed.,Hiking is not obligatory.,Hiking is obligatory.,Yes
allowed,obligatory,Exercising is allowed.,Exercising is not obligatory.,Exercising is obligatory.,Yes
allowed,obligatory,Hoverboarding is allowed.,Hoverboarding is not obligatory.,Hoverboarding is obligatory.,Yes
allowed,obligatory,Visiting after hours is allowed.,Visiting after hours is not obligatory.,Visiting after hours is obligatory.,Yes
allowed,obligatory,Worship is allowed.,Worship is not obligatory.,Worship is obligatory.,Yes
allowed,obligatory,Bargaining is allowed.,Bargaining is not obligatory.,Bargaining is obligatory.,Yes
allowed,obligatory,Recording is allowed.,Recording is not obligatory.,Recording is obligatory.,Yes
allowed,obligatory,Skipping is allowed.,Skipping is not obligatory.,Skipping is obligatory.,Yes
allowed,obligatory,Drawing is allowed.,Drawing is not obligatory.,Drawing is obligatory.,Yes
allowed,obligatory,Driving is allowed.,Driving is not obligatory.,Driving is obligatory.,Yes
allowed,obligatory,Celebrating is allowed.,Celebrating is not obligatory.,Celebrating is obligatory.,Yes
allowed,obligatory,Applauding is allowed.,Applauding is not obligatory.,Applauding is obligatory.,Yes
allowed,obligatory,Picnicking is allowed.,Picnicking is not obligatory.,Picnicking is obligatory.,Yes
allowed,obligatory,Delivering is allowed.,Delivering is not obligatory.,Delivering is obligatory.,Yes
allowed,obligatory,Volunteering is allowed.,Volunteering is not obligatory.,Volunteering is obligatory.,Yes
allowed,obligatory,Donating is allowed.,Donating is not obligatory.,Donating is obligatory.,Yes
allowed,obligatory,Texting is allowed.,Texting is not obligatory.,Texting is obligatory.,Yes
allowed,obligatory,Shouting is allowed.,Shouting is not obligatory.,Shouting is obligatory.,Yes
allowed,obligatory,Camping overnight is allowed.,Camping overnight is not obligatory.,Camping overnight is obligatory.,Yes
allowed,obligatory,Sunbathing is allowed.,Sunbathing is not obligatory.,Sunbathing is obligatory.,Yes
allowed,obligatory,Picking flowers is allowed.,Picking flowers is not obligatory.,Picking flowers is obligatory.,Yes
allowed,obligatory,Playing music is allowed.,Playing music is not obligatory.,Playing music is obligatory.,Yes
allowed,obligatory,Touring is allowed.,Touring is not obligatory.,Touring is obligatory.,Yes
allowed,obligatory,Barbecuing is allowed.,Barbecuing is not obligatory.,Barbecuing is obligatory.,Yes
allowed,obligatory,Proposing ideas is allowed.,Proposing ideas is not obligatory.,Proposing ideas is obligatory.,Yes
allowed,obligatory,Renting equipment is allowed.,Renting equipment is not obligatory.,Renting equipment is obligatory.,Yes
allowed,obligatory,Wearing hats is allowed.,Wearing hats is not obligatory.,Wearing hats is obligatory.,Yes
allowed,obligatory,Using headphones is allowed.,Using headphones is not obligatory.,Using headphones is obligatory.,Yes
allowed,obligatory,Flying kites is allowed.,Flying kites is not obligatory.,Flying kites is obligatory.,Yes
allowed,obligatory,Driving trucks is allowed.,Driving trucks is not obligatory.,Driving trucks is obligatory.,Yes
allowed,obligatory,Hosting parties is allowed.,Hosting parties is not obligatory.,Hosting parties is obligatory.,Yes
allowed,obligatory,Using laptops is allowed.,Using laptops is not obligatory.,Using laptops is obligatory.,Yes
allowed,obligatory,Enjoying food is allowed.,Enjoying food is not obligatory.,Enjoying food is obligatory.,Yes
allowed,obligatory,Bringing guests is allowed.,Bringing guests is not obligatory.,Bringing guests is obligatory.,Yes
allowed,obligatory,Leaving early is allowed.,Leaving early is not obligatory.,Leaving early is obligatory.,Yes
allowed,obligatory,Decorating is allowed.,Decorating is not obligatory.,Decorating is obligatory.,Yes
allowed,obligatory,Borrowing books is allowed.,Borrowing books is not obligatory.,Borrowing books is obligatory.,Yes
allowed,obligatory,Asking questions is allowed.,Asking questions is not obligatory.,Asking questions is obligatory.,Yes
allowed,obligatory,Playing with pets is allowed.,Playing with pets is not obligatory.,Playing with pets is obligatory.,Yes
allowed,obligatory,Carrying backpacks is allowed.,Carrying backpacks is not obligatory.,Carrying backpacks is obligatory.,Yes
allowed,obligatory,Staying late is allowed.,Staying late is not obligatory.,Staying late is obligatory.,Yes
allowed,obligatory,Practicing sports is allowed.,Practicing sports is not obligatory.,Practicing sports is obligatory.,Yes
allowed,obligatory,Submitting work is allowed.,Submitting work is not obligatory.,Submitting work is obligatory.,Yes
allowed,obligatory,Changing plans is allowed.,Changing plans is not obligatory.,Changing plans is obligatory.,Yes
allowed,obligatory,Offering help is allowed.,Offering help is not obligatory.,Offering help is obligatory.,Yes
allowed,obligatory,Celebrating birthdays is allowed.,Celebrating birthdays is not obligatory.,Celebrating birthdays is obligatory.,Yes
allowed,obligatory,Selling crafts is allowed.,Selling crafts is not obligatory.,Selling crafts is obligatory.,Yes
allowed,obligatory,Using chalk is allowed.,Using chalk is not obligatory.,Using chalk is obligatory.,Yes
allowed,obligatory,Posting signs is allowed.,Posting signs is not obligatory.,Posting signs is obligatory.,Yes
allowed,obligatory,Touring the facility is allowed.,Touring the facility is not obligatory.,Touring the facility is obligatory.,Yes
allowed,obligatory,Offering suggestions is allowed.,Offering suggestions is not obligatory.,Offering suggestions is obligatory.,Yes
allowed,obligatory,Fixing equipment is allowed.,Fixing equipment is not obligatory.,Fixing equipment is obligatory.,Yes
allowed,obligatory,Buying snacks is allowed.,Buying snacks is not obligatory.,Buying snacks is obligatory.,Yes
allowed,obligatory,Participating in events is allowed.,Participating in events is not obligatory.,Participating in events is obligatory.,Yes
allowed,obligatory,Taking breaks is allowed.,Taking breaks is not obligatory.,Taking breaks is obligatory.,Yes
allowed,obligatory,Bringing drinks is allowed.,Bringing drinks is not obligatory.,Bringing drinks is obligatory.,Yes
allowed,obligatory,Drawing on sidewalks is allowed.,Drawing on sidewalks is not obligatory.,Drawing on sidewalks is obligatory.,Yes
allowed,obligatory,Bringing chairs is allowed.,Bringing chairs is not obligatory.,Bringing chairs is obligatory.,Yes
allowed,obligatory,Renting boats is allowed.,Renting boats is not obligatory.,Renting boats is obligatory.,Yes
attractive,stunning,This dress is attractive.,This not dress is not stunning.,This dress is stunning.,Yes
attractive,stunning,The offer is attractive.,The offer is not stunning.,The offer is stunning.,Yes
attractive,stunning,The proposal is attractive.,The proposal is not stunning.,The proposal is stunning.,Yes
attractive,stunning,The design is attractive.,The design is not stunning.,The design is stunning.,Yes
attractive,stunning,The package is attractive.,The package is not stunning.,The package is stunning.,Yes
attractive,stunning,This option is attractive.,This not option is not stunning.,This option is stunning.,Yes
attractive,stunning,The apartment is attractive.,The apartment is not stunning.,The apartment is stunning.,Yes
attractive,stunning,The garden is attractive.,The garden is not stunning.,The garden is stunning.,Yes
attractive,stunning,The price is attractive.,The price is not stunning.,The price is stunning.,Yes
attractive,stunning,The scenery is attractive.,The scenery is not stunning.,The scenery is stunning.,Yes
attractive,stunning,This opportunity is attractive.,This not opportunity is not stunning.,This opportunity is stunning.,Yes
attractive,stunning,The painting is attractive.,The painting is not stunning.,The painting is stunning.,Yes
attractive,stunning,The decoration is attractive.,The decoration is not stunning.,The decoration is stunning.,Yes
attractive,stunning,The advertisement is attractive.,The advertisement is not stunning.,The advertisement is stunning.,Yes
attractive,stunning,The candidate is attractive.,The candidate is not stunning.,The candidate is stunning.,Yes
attractive,stunning,The plan is attractive.,The plan is not stunning.,The plan is stunning.,Yes
attractive,stunning,The project is attractive.,The project is not stunning.,The project is stunning.,Yes
attractive,stunning,The restaurant is attractive.,The restaurant is not stunning.,The restaurant is stunning.,Yes
attractive,stunning,The product is attractive.,The product is not stunning.,The product is stunning.,Yes
attractive,stunning,The idea is attractive.,The idea is not stunning.,The idea is stunning.,Yes
attractive,stunning,The furniture is attractive.,The furniture is not stunning.,The furniture is stunning.,Yes
attractive,stunning,This proposal is attractive.,This not proposal is not stunning.,This proposal is stunning.,Yes
attractive,stunning,The deal is attractive.,The deal is not stunning.,The deal is stunning.,Yes
attractive,stunning,The architecture is attractive.,The architecture is not stunning.,The architecture is stunning.,Yes
attractive,stunning,The event is attractive.,The event is not stunning.,The event is stunning.,Yes
attractive,stunning,The vacation spot is attractive.,The vacation spot is not stunning.,The vacation spot is stunning.,Yes
attractive,stunning,The investment is attractive.,The investment is not stunning.,The investment is stunning.,Yes
attractive,stunning,The program is attractive.,The program is not stunning.,The program is stunning.,Yes
attractive,stunning,The artwork is attractive.,The artwork is not stunning.,The artwork is stunning.,Yes
attractive,stunning,The scenery in the park is attractive.,The scenery in the park is not stunning.,The scenery in the park is stunning.,Yes
attractive,stunning,The headline is attractive.,The headline is not stunning.,The headline is stunning.,Yes
attractive,stunning,This book cover is attractive.,This not book cover is not stunning.,This book cover is stunning.,Yes
attractive,stunning,The lighting in this room is attractive.,The lighting in this not room is not stunning.,The lighting in this room is stunning.,Yes
attractive,stunning,The marketing strategy is attractive.,The marketing strategy is not stunning.,The marketing strategy is stunning.,Yes
attractive,stunning,The store display is attractive.,The store display is not stunning.,The store display is stunning.,Yes
attractive,stunning,The flower arrangement is attractive.,The flower arrangement is not stunning.,The flower arrangement is stunning.,Yes
attractive,stunning,The layout is attractive.,The layout is not stunning.,The layout is stunning.,Yes
attractive,stunning,This job offer is attractive.,This not job offer is not stunning.,This job offer is stunning.,Yes
attractive,stunning,The new design is attractive.,The new design is not stunning.,The new design is stunning.,Yes
attractive,stunning,The user interface is attractive.,The user interface is not stunning.,The user interface is stunning.,Yes
attractive,stunning,The landscaping is attractive.,The landscaping is not stunning.,The landscaping is stunning.,Yes
attractive,stunning,The outdoor patio is attractive.,The outdoor patio is not stunning.,The outdoor patio is stunning.,Yes
attractive,stunning,The color scheme is attractive.,The color scheme is not stunning.,The color scheme is stunning.,Yes
attractive,stunning,The exhibit is attractive.,The exhibit is not stunning.,The exhibit is stunning.,Yes
attractive,stunning,The discount is attractive.,The discount is not stunning.,The discount is stunning.,Yes
attractive,stunning,The promotional campaign is attractive.,The promotional campaign is not stunning.,The promotional campaign is stunning.,Yes
attractive,stunning,This advertisement is attractive.,This not advertisement is not stunning.,This advertisement is stunning.,Yes
attractive,stunning,The travel itinerary is attractive.,The travel itinerary is not stunning.,The travel itinerary is stunning.,Yes
attractive,stunning,The coffee shop is attractive.,The coffee shop is not stunning.,The coffee shop is stunning.,Yes
attractive,stunning,The boutique is attractive.,The boutique is not stunning.,The boutique is stunning.,Yes
attractive,stunning,The branding is attractive.,The branding is not stunning.,The branding is stunning.,Yes
attractive,stunning,The restaurant menu is attractive.,The restaurant menu is not stunning.,The restaurant menu is stunning.,Yes
attractive,stunning,The wedding venue is attractive.,The wedding venue is not stunning.,The wedding venue is stunning.,Yes
attractive,stunning,The business proposal is attractive.,The business proposal is not stunning.,The business proposal is stunning.,Yes
attractive,stunning,The home décor is attractive.,The home décor is not stunning.,The home décor is stunning.,Yes
attractive,stunning,The sales pitch is attractive.,The sales pitch is not stunning.,The sales pitch is stunning.,Yes
attractive,stunning,The brochure is attractive.,The brochure is not stunning.,The brochure is stunning.,Yes
attractive,stunning,The hotel lobby is attractive.,The hotel lobby is not stunning.,The hotel lobby is stunning.,Yes
attractive,stunning,The conference agenda is attractive.,The conference agenda is not stunning.,The conference agenda is stunning.,Yes
attractive,stunning,The product packaging is attractive.,The product packaging is not stunning.,The product packaging is stunning.,Yes
attractive,stunning,The fashion show is attractive.,The fashion show is not stunning.,The fashion show is stunning.,Yes
attractive,stunning,The website design is attractive.,The website design is not stunning.,The website design is stunning.,Yes
attractive,stunning,The resume is attractive.,The resume is not stunning.,The resume is stunning.,Yes
attractive,stunning,The career opportunity is attractive.,The career opportunity is not stunning.,The career opportunity is stunning.,Yes
attractive,stunning,The scholarship is attractive.,The scholarship is not stunning.,The scholarship is stunning.,Yes
attractive,stunning,The membership benefits are attractive.,The membership benefits are not stunning.,The membership benefits are stunning.,Yes
attractive,stunning,The shop's ambiance is attractive.,The shop's ambiance is not stunning.,The shop's ambiance is stunning.,Yes
attractive,stunning,The promotional video is attractive.,The promotional video is not stunning.,The promotional video is stunning.,Yes
attractive,stunning,The dessert presentation is attractive.,The dessert presentation is not stunning.,The dessert presentation is stunning.,Yes
attractive,stunning,The charity event is attractive.,The charity event is not stunning.,The charity event is stunning.,Yes
attractive,stunning,The cruise package is attractive.,The cruise package is not stunning.,The cruise package is stunning.,Yes
attractive,stunning,The tech startup is attractive.,The tech startup is not stunning.,The tech startup is stunning.,Yes
attractive,stunning,The storefront is attractive.,The storefront is not stunning.,The storefront is stunning.,Yes
attractive,stunning,The school program is attractive.,The school program is not stunning.,The school program is stunning.,Yes
attractive,stunning,The skyline view is attractive.,The skyline view is not stunning.,The skyline view is stunning.,Yes
attractive,stunning,The marketing material is attractive.,The marketing material is not stunning.,The marketing material is stunning.,Yes
attractive,stunning,The conference package is attractive.,The conference package is not stunning.,The conference package is stunning.,Yes
attractive,stunning,The new logo is attractive.,The new logo is not stunning.,The new logo is stunning.,Yes
attractive,stunning,The car's interior is attractive.,The car's interior is not stunning.,The car's interior is stunning.,Yes
attractive,stunning,The resort is attractive.,The resort is not stunning.,The resort is stunning.,Yes
attractive,stunning,The new smartphone design is attractive.,The new smartphone design is not stunning.,The new smartphone design is stunning.,Yes
attractive,stunning,The painting exhibition is attractive.,The painting exhibition is not stunning.,The painting exhibition is stunning.,Yes
attractive,stunning,The branding strategy is attractive.,The branding strategy is not stunning.,The branding strategy is stunning.,Yes
attractive,stunning,The menu layout is attractive.,The menu layout is not stunning.,The menu layout is stunning.,Yes
attractive,stunning,The service package is attractive.,The service package is not stunning.,The service package is stunning.,Yes
attractive,stunning,The launch event is attractive.,The launch event is not stunning.,The launch event is stunning.,Yes
attractive,stunning,The family package is attractive.,The family package is not stunning.,The family package is stunning.,Yes
attractive,stunning,The financial plan is attractive.,The financial plan is not stunning.,The financial plan is stunning.,Yes
attractive,stunning,The gift wrapping is attractive.,The gift wrapping is not stunning.,The gift wrapping is stunning.,Yes
attractive,stunning,The personal profile is attractive.,The personal profile is not stunning.,The personal profile is stunning.,Yes
attractive,stunning,The magazine cover is attractive.,The magazine cover is not stunning.,The magazine cover is stunning.,Yes
attractive,stunning,The downtown area is attractive.,The downtown area is not stunning.,The downtown area is stunning.,Yes
attractive,stunning,The internship program is attractive.,The internship program is not stunning.,The internship program is stunning.,Yes
attractive,stunning,The membership plan is attractive.,The membership plan is not stunning.,The membership plan is stunning.,Yes
attractive,stunning,The university program is attractive.,The university program is not stunning.,The university program is stunning.,Yes
attractive,stunning,The sunset view is attractive.,The sunset view is not stunning.,The sunset view is stunning.,Yes
attractive,stunning,The mountain lodge is attractive.,The mountain lodge is not stunning.,The mountain lodge is stunning.,Yes
attractive,stunning,The tropical island is attractive.,The tropical island is not stunning.,The tropical island is stunning.,Yes
attractive,stunning,The city skyline is attractive.,The city skyline is not stunning.,The city skyline is stunning.,Yes
attractive,stunning,The countryside retreat is attractive.,The countryside retreat is not stunning.,The countryside retreat is stunning.,Yes
begin,complete,John began the race.,John did not complete the race.,John completed the race.,Yes
begin,complete,She began the conversation.,She did not complete the conversation.,She completed the conversation.,Yes
begin,complete,They began the project.,They did not complete the project.,They completed the project.,Yes
begin,complete,The team began the meeting.,The team did not complete the meeting.,The team completed the meeting.,Yes
begin,complete,The company began production.,The company did not complete production.,The company completed production.,Yes
begin,complete,He began his speech.,He completed his not speech.,He completed his speech.,Yes
begin,complete,The students began their homework.,The students did not complete their homework.,The students completed their homework.,Yes
begin,complete,The musician began the performance.,The musician did not complete the performance.,The musician completed the performance.,Yes
begin,complete,The teacher began the lesson.,The teacher did not complete the lesson.,The teacher completed the lesson.,Yes
begin,complete,The author began the story.,The author did not complete the story.,The author completed the story.,Yes
begin,complete,The group began their journey.,The group did not complete their journey.,The group completed their journey.,Yes
begin,complete,The scientist began the experiment.,The scientist did not complete the experiment.,The scientist completed the experiment.,Yes
begin,complete,The artist began the painting.,The artist did not complete the painting.,The artist completed the painting.,Yes
begin,complete,The runner began the marathon.,The runner did not complete the marathon.,The runner completed the marathon.,Yes
begin,complete,The leader began the campaign.,The leader did not complete the campaign.,The leader completed the campaign.,Yes
begin,complete,The writer began the novel.,The writer did not complete the novel.,The writer completed the novel.,Yes
begin,complete,The doctor began the surgery.,The doctor did not complete the surgery.,The doctor completed the surgery.,Yes
begin,complete,The chef began the preparation.,The chef did not complete the preparation.,The chef completed the preparation.,Yes
begin,complete,The pilot began the descent.,The pilot did not complete the descent.,The pilot completed the descent.,Yes
begin,complete,The engineer began the design.,The engineer did not complete the design.,The engineer completed the design.,Yes
begin,complete,The athlete began the competition.,The athlete did not complete the competition.,The athlete completed the competition.,Yes
begin,complete,The explorer began the expedition.,The explorer did not complete the expedition.,The explorer completed the expedition.,Yes
begin,complete,The band began the song.,The band did not complete the song.,The band completed the song.,Yes
begin,complete,The child began the puzzle.,The child did not complete the puzzle.,The child completed the puzzle.,Yes
begin,complete,The dancer began the routine.,The dancer did not complete the routine.,The dancer completed the routine.,Yes
