prompt_type,direct_difference,direct_correct,meta_difference,meta_correct
simple,0.03664875030517578,True,0.0026826858520507812,True
instruct,0.03664875030517578,True,-0.0032224655151367188,False
complex,0.03664875030517578,True,0.03772258758544922,True
simple,0.03993034362792969,True,0.011351585388183594,True
instruct,0.03993034362792969,True,-0.0013484954833984375,False
complex,0.03993034362792969,True,0.04393196105957031,True
simple,0.03537940979003906,True,0.00464630126953125,True
instruct,0.03537940979003906,True,-0.012044906616210938,False
complex,0.03537940979003906,True,0.03314685821533203,True
simple,0.050604820251464844,True,0.019759178161621094,True
instruct,0.050604820251464844,True,0.02003955841064453,True
complex,0.050604820251464844,True,0.0492401123046875,True
simple,0.04348468780517578,True,0.0022115707397460938,True
instruct,0.04348468780517578,True,-0.007660865783691406,False
complex,0.04348468780517578,True,0.028502464294433594,True
simple,0.04023456573486328,True,-0.009310722351074219,False
instruct,0.04023456573486328,True,-0.02182292938232422,False
complex,0.04023456573486328,True,0.036838531494140625,True
simple,0.048618316650390625,True,-0.005444526672363281,False
instruct,0.048618316650390625,True,-0.02386760711669922,False
complex,0.048618316650390625,True,0.025115013122558594,True
simple,0.04154396057128906,True,0.022126197814941406,True
instruct,0.04154396057128906,True,0.013371467590332031,True
complex,0.04154396057128906,True,0.04554176330566406,True
simple,0.06108379364013672,True,0.015267372131347656,True
instruct,0.06108379364013672,True,0.00160980224609375,True
complex,0.06108379364013672,True,0.04226207733154297,True
simple,0.03381156921386719,True,-0.03034496307373047,False
instruct,0.03381156921386719,True,-0.048607826232910156,False
complex,0.03381156921386719,True,0.0037851333618164062,True
simple,0.04927825927734375,True,0.01473236083984375,True
instruct,0.04927825927734375,True,0.008587837219238281,True
complex,0.04927825927734375,True,0.04106616973876953,True
simple,0.03044891357421875,True,0.01015472412109375,True
instruct,0.03044891357421875,True,0.0032367706298828125,True
complex,0.03044891357421875,True,0.022034645080566406,True
simple,0.036785125732421875,True,0.018613815307617188,True
instruct,0.036785125732421875,True,0.0051059722900390625,True
complex,0.036785125732421875,True,0.05048561096191406,True
simple,0.04282379150390625,True,-0.005707740783691406,False
instruct,0.04282379150390625,True,-0.00508880615234375,False
complex,0.04282379150390625,True,0.033766746520996094,True
simple,0.03444194793701172,True,-0.02093791961669922,False
instruct,0.03444194793701172,True,-0.025104522705078125,False
complex,0.03444194793701172,True,0.016364097595214844,True
simple,0.03357124328613281,True,0.010698318481445312,True
instruct,0.03357124328613281,True,0.003803253173828125,True
complex,0.03357124328613281,True,0.040485382080078125,True
simple,0.04937171936035156,True,0.02308940887451172,True
instruct,0.04937171936035156,True,0.005847930908203125,True
complex,0.04937171936035156,True,0.05092906951904297,True
simple,0.0432586669921875,True,-0.00091552734375,False
instruct,0.0432586669921875,True,-0.013758659362792969,False
complex,0.0432586669921875,True,0.03851795196533203,True
simple,0.03964424133300781,True,0.02951526641845703,True
instruct,0.03964424133300781,True,0.035895347595214844,True
complex,0.03964424133300781,True,0.053307533264160156,True
simple,0.04190826416015625,True,0.00214385986328125,True
instruct,0.04190826416015625,True,-0.013810157775878906,False
complex,0.04190826416015625,True,0.03644275665283203,True
simple,0.042504310607910156,True,-0.005023956298828125,False
instruct,0.042504310607910156,True,-0.005269050598144531,False
complex,0.042504310607910156,True,0.029158592224121094,True
simple,0.046993255615234375,True,0.00023746490478515625,True
instruct,0.046993255615234375,True,-0.009624481201171875,False
complex,0.046993255615234375,True,0.03182411193847656,True
simple,0.02917957305908203,True,0.005687713623046875,True
instruct,0.02917957305908203,True,0.0002460479736328125,True
complex,0.02917957305908203,True,0.03229331970214844,True
simple,0.027487754821777344,True,-0.025012969970703125,False
instruct,0.027487754821777344,True,-0.02857494354248047,False
complex,0.027487754821777344,True,0.02007579803466797,True
simple,0.05555248260498047,True,0.0003204345703125,True
instruct,0.05555248260498047,True,-0.00861358642578125,False
complex,0.05555248260498047,True,0.0352935791015625,True
simple,0.029123306274414062,True,-0.019104957580566406,False
instruct,0.029123306274414062,True,-0.029799461364746094,False
complex,0.029123306274414062,True,0.03421974182128906,True
simple,0.03450202941894531,True,0.004153251647949219,True
instruct,0.03450202941894531,True,-0.005276679992675781,False
complex,0.03450202941894531,True,0.030808448791503906,True
simple,0.044180870056152344,True,-0.012968063354492188,False
instruct,0.044180870056152344,True,-0.03026866912841797,False
complex,0.044180870056152344,True,0.025353431701660156,True
simple,0.051636695861816406,True,0.03629016876220703,True
instruct,0.051636695861816406,True,0.025856971740722656,True
complex,0.051636695861816406,True,0.05310249328613281,True
simple,0.03107738494873047,True,-0.013577461242675781,False
instruct,0.03107738494873047,True,-0.01566600799560547,False
complex,0.03107738494873047,True,0.02117633819580078,True
simple,0.038498878479003906,True,-0.0008640289306640625,False
instruct,0.038498878479003906,True,-0.023159027099609375,False
complex,0.038498878479003906,True,0.03333091735839844,True
simple,0.028255462646484375,True,-0.011968612670898438,False
instruct,0.028255462646484375,True,-0.022207260131835938,False
complex,0.028255462646484375,True,0.0263671875,True
simple,0.040485382080078125,True,0.017911911010742188,True
instruct,0.040485382080078125,True,0.006091117858886719,True
complex,0.040485382080078125,True,0.035820960998535156,True
simple,0.03640460968017578,True,0.016754150390625,True
instruct,0.03640460968017578,True,-0.0028810501098632812,False
complex,0.03640460968017578,True,0.036513328552246094,True
simple,0.032196044921875,True,0.015443801879882812,True
instruct,0.032196044921875,True,0.01235198974609375,True
complex,0.032196044921875,True,0.04780101776123047,True
simple,0.04148578643798828,True,0.025762557983398438,True
instruct,0.04148578643798828,True,0.016201019287109375,True
complex,0.04148578643798828,True,0.04174613952636719,True
simple,0.057288169860839844,True,-0.014156341552734375,False
instruct,0.057288169860839844,True,-0.018591880798339844,False
complex,0.057288169860839844,True,0.02369403839111328,True
simple,0.039844512939453125,True,-0.00865936279296875,False
instruct,0.039844512939453125,True,-0.028861045837402344,False
complex,0.039844512939453125,True,0.030767440795898438,True
simple,-0.005654335021972656,False,0.006361961364746094,True
instruct,-0.005654335021972656,False,-0.004852294921875,False
complex,-0.005654335021972656,False,0.024443626403808594,True
simple,0.02775287628173828,True,0.0044536590576171875,True
instruct,0.02775287628173828,True,-0.00478363037109375,False
complex,0.02775287628173828,True,0.031502723693847656,True
simple,0.048422813415527344,True,-0.006382942199707031,False
instruct,0.048422813415527344,True,-0.026427268981933594,False
complex,0.048422813415527344,True,0.02393627166748047,True
simple,0.05051422119140625,True,-0.021856307983398438,False
instruct,0.05051422119140625,True,-0.032563209533691406,False
complex,0.05051422119140625,True,0.017751693725585938,True
simple,0.01929187774658203,True,0.0036458969116210938,True
instruct,0.01929187774658203,True,0.0026388168334960938,True
complex,0.01929187774658203,True,0.041771888732910156,True
simple,0.024806976318359375,True,-0.0191650390625,False
instruct,0.024806976318359375,True,-0.026900291442871094,False
complex,0.024806976318359375,True,0.02057170867919922,True
simple,-0.016139984130859375,False,-0.03645133972167969,False
instruct,-0.016139984130859375,False,-0.04123878479003906,False
complex,-0.016139984130859375,False,0.01840686798095703,True
simple,0.04233741760253906,True,-0.021027565002441406,False
instruct,0.04233741760253906,True,-0.02295970916748047,False
complex,0.04233741760253906,True,0.020400047302246094,True
simple,0.06516361236572266,True,-0.0010204315185546875,False
instruct,0.06516361236572266,True,-0.010189056396484375,False
complex,0.06516361236572266,True,0.02908802032470703,True
simple,0.034819602966308594,True,-8.58306884765625e-06,False
instruct,0.034819602966308594,True,-0.008510589599609375,False
complex,0.034819602966308594,True,0.04163551330566406,True
simple,0.04918193817138672,True,0.0001506805419921875,True
instruct,0.04918193817138672,True,-0.004338264465332031,False
complex,0.04918193817138672,True,0.03863048553466797,True
simple,0.058929443359375,True,0.02530193328857422,True
instruct,0.058929443359375,True,0.01619720458984375,True
complex,0.058929443359375,True,0.060973167419433594,True
simple,0.039974212646484375,True,0.0018510818481445312,True
instruct,0.039974212646484375,True,-0.005523681640625,False
