prompt_type,direct_difference,direct_correct,meta_difference,meta_correct
simple,0.03664875030517578,True,-0.016088485717773438,False
instruct,0.03664875030517578,True,-0.007802009582519531,False
complex,0.03664875030517578,True,-0.021570205688476562,False
simple,0.03993034362792969,True,-0.021514892578125,False
instruct,0.03993034362792969,True,-0.009406089782714844,False
complex,0.03993034362792969,True,-0.019026756286621094,False
simple,0.03537940979003906,True,-0.02241992950439453,False
instruct,0.03537940979003906,True,-0.010347366333007812,False
complex,0.03537940979003906,True,-0.027601242065429688,False
simple,0.050604820251464844,True,-0.02328777313232422,False
instruct,0.050604820251464844,True,-0.01031494140625,False
complex,0.050604820251464844,True,-0.02743244171142578,False
simple,0.04348468780517578,True,-0.01652050018310547,False
instruct,0.04348468780517578,True,-0.007515907287597656,False
complex,0.04348468780517578,True,-0.016393661499023438,False
simple,0.04023456573486328,True,-0.01898670196533203,False
instruct,0.04023456573486328,True,-0.009813308715820312,False
complex,0.04023456573486328,True,-0.017278671264648438,False
simple,0.048618316650390625,True,-0.021515846252441406,False
instruct,0.048618316650390625,True,-0.009732246398925781,False
complex,0.048618316650390625,True,-0.02124309539794922,False
simple,0.04154396057128906,True,-0.018927574157714844,False
instruct,0.04154396057128906,True,-0.009662628173828125,False
complex,0.04154396057128906,True,-0.01954936981201172,False
simple,0.06108379364013672,True,-0.014093399047851562,False
instruct,0.06108379364013672,True,-0.006218910217285156,False
complex,0.06108379364013672,True,-0.02104473114013672,False
simple,0.03381156921386719,True,-0.012933731079101562,False
instruct,0.03381156921386719,True,-0.0043582916259765625,False
complex,0.03381156921386719,True,-0.013692855834960938,False
simple,0.04927825927734375,True,-0.020538330078125,False
instruct,0.04927825927734375,True,-0.010610580444335938,False
complex,0.04927825927734375,True,-0.022515296936035156,False
simple,0.03044891357421875,True,-0.021384239196777344,False
instruct,0.03044891357421875,True,-0.008632659912109375,False
complex,0.03044891357421875,True,-0.020734786987304688,False
simple,0.036785125732421875,True,-0.018243789672851562,False
instruct,0.036785125732421875,True,-0.006964683532714844,False
complex,0.036785125732421875,True,-0.018798828125,False
