prompt_type,direct_difference,direct_correct,meta_difference,meta_correct
simple,0.026597023010253906,True,0.028494834899902344,True
instruct,0.026597023010253906,True,0.026012420654296875,True
complex,0.026597023010253906,True,0.011969566345214844,True
simple,0.04766082763671875,True,0.029954910278320312,True
instruct,0.04766082763671875,True,0.026101112365722656,True
complex,0.04766082763671875,True,0.019641876220703125,True
simple,0.021271705627441406,True,0.03188800811767578,True
instruct,0.021271705627441406,True,0.034293174743652344,True
complex,0.021271705627441406,True,0.018756866455078125,True
simple,0.03938579559326172,True,0.029656410217285156,True
instruct,0.03938579559326172,True,0.027420997619628906,True
complex,0.03938579559326172,True,0.0041065216064453125,True
simple,0.02239990234375,True,0.03884601593017578,True
instruct,0.02239990234375,True,0.036980628967285156,True
complex,0.02239990234375,True,0.02235698699951172,True
simple,0.039946556091308594,True,0.03389930725097656,True
instruct,0.039946556091308594,True,0.02615070343017578,True
complex,0.039946556091308594,True,0.013393402099609375,True
simple,0.03345775604248047,True,0.045993804931640625,True
instruct,0.03345775604248047,True,0.039834022521972656,True
complex,0.03345775604248047,True,0.028980255126953125,True
simple,0.03512382507324219,True,0.04057598114013672,True
instruct,0.03512382507324219,True,0.03071117401123047,True
complex,0.03512382507324219,True,0.011906623840332031,True
simple,0.03281879425048828,True,0.03368663787841797,True
instruct,0.03281879425048828,True,0.02858734130859375,True
complex,0.03281879425048828,True,0.014323234558105469,True
simple,0.028110504150390625,True,0.04467487335205078,True
instruct,0.028110504150390625,True,0.03526878356933594,True
complex,0.028110504150390625,True,0.0013608932495117188,True
simple,0.04562950134277344,True,0.03709888458251953,True
instruct,0.04562950134277344,True,0.02152252197265625,True
complex,0.04562950134277344,True,0.021851539611816406,True
simple,0.02588367462158203,True,0.049704551696777344,True
instruct,0.02588367462158203,True,0.03231048583984375,True
complex,0.02588367462158203,True,0.00043392181396484375,True
simple,0.025953292846679688,True,0.0386505126953125,True
instruct,0.025953292846679688,True,0.03625774383544922,True
complex,0.025953292846679688,True,0.021340370178222656,True
simple,0.030480384826660156,True,0.03451824188232422,True
instruct,0.030480384826660156,True,0.02373790740966797,True
complex,0.030480384826660156,True,0.011252403259277344,True
simple,0.020605087280273438,True,0.034737586975097656,True
instruct,0.020605087280273438,True,0.03278160095214844,True
complex,0.020605087280273438,True,0.01268768310546875,True
simple,0.045273780822753906,True,0.03208637237548828,True
instruct,0.045273780822753906,True,0.024559974670410156,True
complex,0.045273780822753906,True,0.0055713653564453125,True
simple,0.04530048370361328,True,0.029158592224121094,True
instruct,0.04530048370361328,True,0.0292816162109375,True
complex,0.04530048370361328,True,0.0014829635620117188,True
simple,0.04531669616699219,True,0.03885364532470703,True
instruct,0.04531669616699219,True,0.03322887420654297,True
complex,0.04531669616699219,True,0.017786026000976562,True
simple,0.036126136779785156,True,0.037982940673828125,True
instruct,0.036126136779785156,True,0.0335540771484375,True
complex,0.036126136779785156,True,0.005333900451660156,True
simple,0.029170989990234375,True,0.045146942138671875,True
instruct,0.029170989990234375,True,0.03464508056640625,True
complex,0.029170989990234375,True,0.014074325561523438,True
simple,0.021091461181640625,True,0.03216552734375,True
instruct,0.021091461181640625,True,0.02830219268798828,True
complex,0.021091461181640625,True,0.029048919677734375,True
simple,0.038155555725097656,True,0.04199695587158203,True
instruct,0.038155555725097656,True,0.03639984130859375,True
complex,0.038155555725097656,True,0.019646644592285156,True
simple,0.01993083953857422,True,0.039463043212890625,True
instruct,0.01993083953857422,True,0.041441917419433594,True
complex,0.01993083953857422,True,0.016953468322753906,True
simple,0.028464317321777344,True,0.03370380401611328,True
instruct,0.028464317321777344,True,0.03474998474121094,True
complex,0.028464317321777344,True,0.02304363250732422,True
simple,0.04093647003173828,True,0.04069328308105469,True
instruct,0.04093647003173828,True,0.03480720520019531,True
complex,0.04093647003173828,True,0.03803062438964844,True
simple,0.03285789489746094,True,0.04122161865234375,True
instruct,0.03285789489746094,True,0.038257598876953125,True
complex,0.03285789489746094,True,0.018776893615722656,True
simple,0.0259246826171875,True,0.03466987609863281,True
instruct,0.0259246826171875,True,0.03334617614746094,True
complex,0.0259246826171875,True,0.021677017211914062,True
simple,0.022930145263671875,True,0.028281211853027344,True
instruct,0.022930145263671875,True,0.02207183837890625,True
complex,0.022930145263671875,True,0.010861396789550781,True
simple,0.025531768798828125,True,0.036314964294433594,True
instruct,0.025531768798828125,True,0.031050682067871094,True
complex,0.025531768798828125,True,0.02032947540283203,True
simple,0.026418685913085938,True,0.039984703063964844,True
instruct,0.026418685913085938,True,0.03159332275390625,True
complex,0.026418685913085938,True,-0.002986907958984375,False
simple,0.04667091369628906,True,0.036704063415527344,True
instruct,0.04667091369628906,True,0.03345012664794922,True
complex,0.04667091369628906,True,0.027187347412109375,True
simple,0.023830413818359375,True,0.032088279724121094,True
instruct,0.023830413818359375,True,0.027899742126464844,True
complex,0.023830413818359375,True,0.016699790954589844,True
simple,0.02148723602294922,True,0.04240989685058594,True
instruct,0.02148723602294922,True,0.03512859344482422,True
complex,0.02148723602294922,True,0.028264999389648438,True
simple,0.03779888153076172,True,0.034155845642089844,True
instruct,0.03779888153076172,True,0.03219795227050781,True
complex,0.03779888153076172,True,0.008321762084960938,True
simple,0.02804088592529297,True,0.031742095947265625,True
instruct,0.02804088592529297,True,0.03110027313232422,True
complex,0.02804088592529297,True,0.016754150390625,True
simple,0.048648834228515625,True,0.04101848602294922,True
instruct,0.048648834228515625,True,0.02857208251953125,True
complex,0.048648834228515625,True,0.019471168518066406,True
simple,0.03737354278564453,True,0.05741405487060547,True
instruct,0.03737354278564453,True,0.04701805114746094,True
complex,0.03737354278564453,True,0.03756141662597656,True
simple,0.04934883117675781,True,0.04123687744140625,True
instruct,0.04934883117675781,True,0.028106689453125,True
complex,0.04934883117675781,True,0.016076087951660156,True
simple,0.035526275634765625,True,0.034567832946777344,True
instruct,0.035526275634765625,True,0.03493690490722656,True
complex,0.035526275634765625,True,0.012816429138183594,True
simple,0.013190269470214844,True,0.02863788604736328,True
instruct,0.013190269470214844,True,0.028829574584960938,True
complex,0.013190269470214844,True,0.018477439880371094,True
simple,0.037627220153808594,True,0.03974342346191406,True
instruct,0.037627220153808594,True,0.02904224395751953,True
complex,0.037627220153808594,True,0.01616954803466797,True
simple,0.03201484680175781,True,0.03973102569580078,True
instruct,0.03201484680175781,True,0.03309917449951172,True
complex,0.03201484680175781,True,0.015225410461425781,True
simple,0.0179595947265625,True,0.028360366821289062,True
instruct,0.0179595947265625,True,0.03096771240234375,True
complex,0.0179595947265625,True,0.01693248748779297,True
simple,0.040762901306152344,True,0.03540229797363281,True
instruct,0.040762901306152344,True,0.027517318725585938,True
complex,0.040762901306152344,True,0.013211250305175781,True
simple,0.03742694854736328,True,0.029674530029296875,True
instruct,0.03742694854736328,True,0.025994300842285156,True
complex,0.03742694854736328,True,0.015287399291992188,True
simple,0.034789085388183594,True,0.040699005126953125,True
instruct,0.034789085388183594,True,0.03939342498779297,True
complex,0.034789085388183594,True,0.011836051940917969,True
simple,0.040374755859375,True,0.04178619384765625,True
instruct,0.040374755859375,True,0.03236579895019531,True
complex,0.040374755859375,True,0.0018177032470703125,True
simple,0.03866767883300781,True,0.029260635375976562,True
instruct,0.03866767883300781,True,0.02351856231689453,True
complex,0.03866767883300781,True,0.013645172119140625,True
simple,0.02554035186767578,True,0.038718223571777344,True
instruct,0.02554035186767578,True,0.0301666259765625,True
complex,0.02554035186767578,True,0.022203445434570312,True
simple,0.04422950744628906,True,0.042717933654785156,True
instruct,0.04422950744628906,True,0.03580474853515625,True
complex,0.04422950744628906,True,0.024497032165527344,True
simple,0.023047447204589844,True,0.03454780578613281,True
instruct,0.023047447204589844,True,0.030694961547851562,True
complex,0.023047447204589844,True,0.020539283752441406,True
simple,0.015639305114746094,True,0.03297901153564453,True
instruct,0.015639305114746094,True,0.026032447814941406,True
complex,0.015639305114746094,True,0.014059066772460938,True
simple,0.0277557373046875,True,0.03447532653808594,True
instruct,0.0277557373046875,True,0.033840179443359375,True
complex,0.0277557373046875,True,0.0063114166259765625,True
simple,0.042601585388183594,True,0.03306865692138672,True
instruct,0.042601585388183594,True,0.026865005493164062,True
complex,0.042601585388183594,True,0.00925445556640625,True
simple,0.03312492370605469,True,0.038107872009277344,True
instruct,0.03312492370605469,True,0.035857200622558594,True
complex,0.03312492370605469,True,0.026549339294433594,True
simple,0.04505443572998047,True,0.04080486297607422,True
instruct,0.04505443572998047,True,0.03833770751953125,True
complex,0.04505443572998047,True,0.022695541381835938,True
simple,0.02412891387939453,True,0.047542572021484375,True
instruct,0.02412891387939453,True,0.047003746032714844,True
complex,0.02412891387939453,True,0.026129722595214844,True
simple,0.029170989990234375,True,0.035035133361816406,True
instruct,0.029170989990234375,True,0.0285186767578125,True
complex,0.029170989990234375,True,0.007206916809082031,True
simple,0.02884197235107422,True,0.041347503662109375,True
instruct,0.02884197235107422,True,0.034766197204589844,True
complex,0.02884197235107422,True,0.02055644989013672,True
simple,0.03000640869140625,True,0.03127765655517578,True
instruct,0.03000640869140625,True,0.031122207641601562,True
complex,0.03000640869140625,True,0.035714149475097656,True
simple,0.019071578979492188,True,0.0281219482421875,True
instruct,0.019071578979492188,True,0.026582717895507812,True
complex,0.019071578979492188,True,0.013837814331054688,True
simple,0.02375316619873047,True,0.031982421875,True
instruct,0.02375316619873047,True,0.02476787567138672,True
complex,0.02375316619873047,True,0.021104812622070312,True
simple,0.024211883544921875,True,0.044701576232910156,True
instruct,0.024211883544921875,True,0.038066864013671875,True
complex,0.024211883544921875,True,0.021218299865722656,True
simple,0.04027557373046875,True,0.038562774658203125,True
instruct,0.04027557373046875,True,0.03658294677734375,True
