prompt_type,direct_difference,direct_correct,meta_difference,meta_correct
simple,-1.1875,False,0.1875,True
instruct,-1.1875,False,1.125,True
complex,-1.1875,False,2.1875,True
simple,-0.625,False,0.625,True
instruct,-0.625,False,1.3125,True
complex,-0.625,False,2.4375,True
simple,-0.5,False,0.4375,True
instruct,-0.5,False,1.375,True
complex,-0.5,False,2.125,True
simple,-1.4375,False,0.5,True
instruct,-1.4375,False,1.25,True
complex,-1.4375,False,2.3125,True
simple,-1.0625,False,0.4375,True
instruct,-1.0625,False,1.25,True
complex,-1.0625,False,2.3125,True
simple,-0.1875,False,0.5625,True
instruct,-0.1875,False,1.3125,True
complex,-0.1875,False,2.4375,True
simple,-0.875,False,0.625,True
instruct,-0.875,False,1.375,True
complex,-0.875,False,2.5,True
simple,-1.625,False,0.6875,True
instruct,-1.625,False,1.46875,True
complex,-1.625,False,2.375,True
simple,-0.375,False,0.75,True
instruct,-0.375,False,1.4375,True
complex,-0.375,False,2.4375,True
simple,-1.375,False,0.8125,True
instruct,-1.375,False,1.40625,True
complex,-1.375,False,2.25,True
simple,-1.3125,False,0.5625,True
instruct,-1.3125,False,1.1875,True
complex,-1.3125,False,2.25,True
simple,-3.25,False,0.4375,True
instruct,-3.25,False,1.28125,True
complex,-3.25,False,2.4375,True
simple,-0.375,False,0.625,True
instruct,-0.375,False,1.1875,True
complex,-0.375,False,2.1875,True
simple,-0.8125,False,0.5625,True
instruct,-0.8125,False,1.28125,True
complex,-0.8125,False,2.3125,True
simple,-1.4375,False,0.5,True
instruct,-1.4375,False,1.28125,True
complex,-1.4375,False,2.4375,True
simple,-0.1875,False,0.1875,True
instruct,-0.1875,False,1.0625,True
complex,-0.1875,False,2.0,True
simple,-1.75,False,0.5,True
instruct,-1.75,False,1.3125,True
complex,-1.75,False,2.1875,True
simple,-1.0,False,0.75,True
instruct,-1.0,False,1.375,True
complex,-1.0,False,2.5625,True
simple,-1.4375,False,0.625,True
instruct,-1.4375,False,1.59375,True
complex,-1.4375,False,2.5,True
simple,-1.3125,False,0.5625,True
instruct,-1.3125,False,1.3125,True
complex,-1.3125,False,2.3125,True
simple,-1.4375,False,0.6875,True
instruct,-1.4375,False,1.375,True
complex,-1.4375,False,2.3125,True
simple,-1.5625,False,0.5,True
instruct,-1.5625,False,1.25,True
complex,-1.5625,False,2.375,True
simple,-0.4375,False,0.3125,True
instruct,-0.4375,False,1.125,True
complex,-0.4375,False,2.0,True
simple,1.8125,True,0.6875,True
instruct,1.8125,True,1.40625,True
complex,1.8125,True,2.3125,True
simple,0.25,True,0.5625,True
instruct,0.25,True,0.71875,True
complex,0.25,True,2.0,True
simple,-1.4375,False,0.6875,True
instruct,-1.4375,False,1.125,True
complex,-1.4375,False,2.1875,True
simple,-0.25,False,0.5625,True
instruct,-0.25,False,1.34375,True
complex,-0.25,False,2.25,True
simple,-0.625,False,0.5625,True
instruct,-0.625,False,1.28125,True
complex,-0.625,False,2.375,True
simple,-1.375,False,0.25,True
instruct,-1.375,False,1.25,True
complex,-1.375,False,2.375,True
simple,-0.75,False,0.4375,True
instruct,-0.75,False,1.0625,True
complex,-0.75,False,2.125,True
simple,-1.875,False,0.375,True
instruct,-1.875,False,1.125,True
complex,-1.875,False,2.0625,True
simple,-1.375,False,0.5625,True
instruct,-1.375,False,1.375,True
complex,-1.375,False,2.1875,True
simple,1.375,True,0.3125,True
instruct,1.375,True,1.09375,True
complex,1.375,True,2.1875,True
simple,-1.125,False,0.375,True
instruct,-1.125,False,1.125,True
complex,-1.125,False,2.3125,True
simple,0.125,True,0.375,True
instruct,0.125,True,1.21875,True
complex,0.125,True,2.125,True
simple,-0.125,False,0.3125,True
instruct,-0.125,False,1.03125,True
complex,-0.125,False,2.125,True
simple,-0.875,False,0.4375,True
instruct,-0.875,False,0.96875,True
complex,-0.875,False,2.1875,True
simple,4.0,True,0.4375,True
instruct,4.0,True,0.96875,True
complex,4.0,True,2.0625,True
simple,-1.0625,False,0.75,True
instruct,-1.0625,False,1.6875,True
complex,-1.0625,False,2.6875,True
simple,-1.0625,False,0.75,True
instruct,-1.0625,False,1.46875,True
complex,-1.0625,False,2.4375,True
simple,-0.3125,False,0.6875,True
instruct,-0.3125,False,1.125,True
complex,-0.3125,False,2.3125,True
simple,-1.25,False,0.4375,True
instruct,-1.25,False,1.1875,True
complex,-1.25,False,2.25,True
simple,-2.4375,False,0.25,True
instruct,-2.4375,False,1.09375,True
complex,-2.4375,False,2.375,True
simple,-0.5,False,0.6875,True
instruct,-0.5,False,1.40625,True
complex,-0.5,False,2.0625,True
simple,0.625,True,0.75,True
instruct,0.625,True,1.875,True
complex,0.625,True,2.5,True
simple,0.3125,True,0.625,True
instruct,0.3125,True,1.21875,True
complex,0.3125,True,2.25,True
simple,-0.5,False,0.875,True
instruct,-0.5,False,1.5625,True
complex,-0.5,False,2.625,True
simple,1.125,True,0.6875,True
instruct,1.125,True,1.0625,True
complex,1.125,True,2.3125,True
simple,0.0,False,0.5625,True
instruct,0.0,False,1.34375,True
complex,0.0,False,2.375,True
simple,-1.0625,False,0.6875,True
instruct,-1.0625,False,1.3125,True
complex,-1.0625,False,2.25,True
simple,-0.75,False,0.5625,True
instruct,-0.75,False,1.28125,True
complex,-0.75,False,2.3125,True
simple,-0.8125,False,0.375,True
instruct,-0.8125,False,1.125,True
complex,-0.8125,False,2.0,True
simple,-0.5625,False,0.3125,True
instruct,-0.5625,False,1.1875,True
complex,-0.5625,False,2.3125,True
simple,-0.9375,False,0.25,True
instruct,-0.9375,False,1.5,True
complex,-0.9375,False,2.3125,True
simple,-0.4375,False,0.3125,True
instruct,-0.4375,False,1.09375,True
complex,-0.4375,False,2.0625,True
simple,1.125,True,0.625,True
instruct,1.125,True,1.6875,True
complex,1.125,True,2.5625,True
simple,2.125,True,0.4375,True
instruct,2.125,True,1.25,True
complex,2.125,True,2.375,True
simple,-0.6875,False,0.375,True
instruct,-0.6875,False,1.03125,True
complex,-0.6875,False,2.1875,True
simple,-0.6875,False,0.25,True
instruct,-0.6875,False,1.21875,True
complex,-0.6875,False,2.0,True
simple,0.625,True,0.5625,True
instruct,0.625,True,1.53125,True
complex,0.625,True,2.5,True
simple,-0.5625,False,0.5,True
instruct,-0.5625,False,1.625,True
complex,-0.5625,False,2.3125,True
simple,-0.75,False,0.3125,True
instruct,-0.75,False,1.375,True
complex,-0.75,False,2.3125,True
simple,-1.0625,False,0.3125,True
instruct,-1.0625,False,1.1875,True
complex,-1.0625,False,2.0625,True
simple,-0.25,False,0.5,True
instruct,-0.25,False,1.3125,True
complex,-0.25,False,2.125,True
