prompt_type,direct_difference,direct_correct,meta_difference,meta_correct
simple,-1.9375,False,-0.0625,False
instruct,-1.9375,False,0.125,True
complex,-1.9375,False,0.375,True
simple,0.0,False,0.125,True
instruct,0.0,False,-0.125,False
complex,0.0,False,0.1875,True
simple,-1.5625,False,0.125,True
instruct,-1.5625,False,0.4375,True
complex,-1.5625,False,0.125,True
simple,-2.875,False,0.1875,True
instruct,-2.875,False,0.4375,True
complex,-2.875,False,0.1875,True
simple,-0.6875,False,-0.5625,False
instruct,-0.6875,False,-0.4375,False
complex,-0.6875,False,0.125,True
simple,-1.125,False,0.125,True
instruct,-1.125,False,0.3125,True
complex,-1.125,False,0.0625,True
simple,-0.375,False,0.125,True
instruct,-0.375,False,0.625,True
complex,-0.375,False,0.3125,True
simple,-1.125,False,-0.1875,False
instruct,-1.125,False,0.5,True
complex,-1.125,False,0.25,True
simple,-0.375,False,-0.125,False
instruct,-0.375,False,0.0,False
complex,-0.375,False,0.125,True
simple,-4.6875,False,-0.375,False
instruct,-4.6875,False,-0.125,False
complex,-4.6875,False,0.0625,True
simple,-1.5,False,-0.0625,False
instruct,-1.5,False,0.1875,True
complex,-1.5,False,0.1875,True
simple,-0.5,False,-0.25,False
instruct,-0.5,False,0.0625,True
complex,-0.5,False,0.0,False
simple,-1.25,False,-0.25,False
instruct,-1.25,False,-0.3125,False
complex,-1.25,False,0.0,False
simple,-0.875,False,0.25,True
instruct,-0.875,False,0.375,True
complex,-0.875,False,0.0625,True
simple,-1.0,False,0.0,False
instruct,-1.0,False,0.125,True
complex,-1.0,False,0.0625,True
simple,-0.5625,False,0.1875,True
instruct,-0.5625,False,0.4375,True
complex,-0.5625,False,0.1875,True
simple,-2.5,False,-0.25,False
instruct,-2.5,False,-0.1875,False
complex,-2.5,False,0.125,True
simple,-0.5,False,-0.1875,False
instruct,-0.5,False,0.0625,True
complex,-0.5,False,0.0,False
simple,-1.5,False,-0.125,False
instruct,-1.5,False,0.3125,True
complex,-1.5,False,0.125,True
simple,-1.0,False,0.25,True
instruct,-1.0,False,0.625,True
complex,-1.0,False,0.0,False
simple,-2.0625,False,0.125,True
instruct,-2.0625,False,0.5,True
complex,-2.0625,False,0.25,True
simple,-1.9375,False,0.0625,True
instruct,-1.9375,False,0.0,False
complex,-1.9375,False,0.125,True
simple,-0.375,False,0.375,True
instruct,-0.375,False,0.5,True
complex,-0.375,False,0.375,True
simple,-0.125,False,0.0625,True
instruct,-0.125,False,0.1875,True
complex,-0.125,False,0.1875,True
simple,-2.0,False,0.0625,True
instruct,-2.0,False,-0.0625,False
complex,-2.0,False,0.25,True
simple,-2.875,False,-0.75,False
instruct,-2.875,False,-0.8125,False
complex,-2.875,False,-0.0625,False
simple,-0.5,False,-0.125,False
instruct,-0.5,False,0.0625,True
complex,-0.5,False,0.125,True
simple,-1.75,False,-0.9375,False
instruct,-1.75,False,-0.25,False
complex,-1.75,False,0.25,True
simple,-0.125,False,0.0625,True
instruct,-0.125,False,0.625,True
complex,-0.125,False,0.25,True
simple,-2.125,False,0.3125,True
instruct,-2.125,False,0.625,True
complex,-2.125,False,0.0,False
simple,-0.375,False,-0.25,False
instruct,-0.375,False,-0.0625,False
complex,-0.375,False,-0.0625,False
simple,-0.875,False,0.25,True
instruct,-0.875,False,0.375,True
complex,-0.875,False,0.125,True
simple,0.375,True,0.3125,True
instruct,0.375,True,0.5625,True
complex,0.375,True,0.375,True
simple,-1.125,False,-0.5625,False
instruct,-1.125,False,-0.3125,False
complex,-1.125,False,0.0625,True
simple,-0.625,False,-0.1875,False
instruct,-0.625,False,0.0625,True
complex,-0.625,False,0.0,False
simple,-0.375,False,-0.125,False
instruct,-0.375,False,0.3125,True
complex,-0.375,False,0.125,True
simple,-2.875,False,-0.1875,False
instruct,-2.875,False,-0.4375,False
complex,-2.875,False,0.0,False
simple,-0.25,False,-0.125,False
instruct,-0.25,False,-0.125,False
complex,-0.25,False,0.0625,True
simple,-2.125,False,0.0625,True
instruct,-2.125,False,0.3125,True
complex,-2.125,False,0.125,True
simple,-1.6875,False,-0.25,False
instruct,-1.6875,False,-0.125,False
complex,-1.6875,False,0.125,True
simple,-1.9375,False,-0.125,False
instruct,-1.9375,False,0.25,True
complex,-1.9375,False,0.0,False
simple,-0.875,False,-0.0625,False
instruct,-0.875,False,0.25,True
complex,-0.875,False,0.125,True
simple,-2.25,False,-0.5625,False
instruct,-2.25,False,0.0,False
complex,-2.25,False,0.25,True
simple,-1.0,False,0.1875,True
instruct,-1.0,False,0.625,True
complex,-1.0,False,0.1875,True
simple,-0.375,False,0.75,True
instruct,-0.375,False,0.8125,True
complex,-0.375,False,0.125,True
simple,0.5625,True,-0.625,False
instruct,0.5625,True,-0.875,False
complex,0.5625,True,0.0625,True
simple,-0.4375,False,-0.0625,False
instruct,-0.4375,False,0.3125,True
complex,-0.4375,False,0.125,True
simple,-0.375,False,-0.375,False
instruct,-0.375,False,0.0,False
complex,-0.375,False,0.125,True
simple,-1.0,False,0.0,False
instruct,-1.0,False,0.0,False
complex,-1.0,False,0.25,True
simple,0.0,False,-0.1875,False
instruct,0.0,False,-0.375,False
complex,0.0,False,-0.0625,False
simple,-1.375,False,-0.3125,False
instruct,-1.375,False,-0.4375,False
complex,-1.375,False,0.1875,True
simple,-0.5,False,0.375,True
instruct,-0.5,False,0.375,True
complex,-0.5,False,0.0625,True
simple,-0.6875,False,0.0,False
instruct,-0.6875,False,0.5,True
complex,-0.6875,False,0.1875,True
simple,-1.5,False,0.25,True
instruct,-1.5,False,0.3125,True
complex,-1.5,False,0.3125,True
simple,-1.125,False,-0.0625,False
instruct,-1.125,False,0.0625,True
complex,-1.125,False,0.25,True
simple,0.3125,True,0.125,True
instruct,0.3125,True,0.5,True
complex,0.3125,True,0.3125,True
simple,1.25,True,0.0,False
instruct,1.25,True,0.25,True
complex,1.25,True,0.3125,True
simple,-0.625,False,0.3125,True
instruct,-0.625,False,0.5625,True
complex,-0.625,False,0.125,True
simple,-1.5625,False,0.125,True
instruct,-1.5625,False,0.5,True
complex,-1.5625,False,0.0,False
simple,-0.375,False,-0.0625,False
instruct,-0.375,False,0.375,True
complex,-0.375,False,0.25,True
simple,-1.75,False,0.0625,True
instruct,-1.75,False,0.375,True
complex,-1.75,False,0.25,True
simple,-2.25,False,-0.125,False
instruct,-2.25,False,0.0625,True
complex,-2.25,False,0.375,True
simple,-1.5,False,0.0,False
instruct,-1.5,False,0.125,True
complex,-1.5,False,0.0625,True
simple,-0.125,False,0.3125,True
instruct,-0.125,False,0.375,True
complex,-0.125,False,0.125,True
simple,-2.625,False,0.125,True
instruct,-2.625,False,0.5625,True
complex,-2.625,False,0.25,True
simple,-0.5,False,-0.0625,False
instruct,-0.5,False,0.3125,True
complex,-0.5,False,0.25,True
simple,2.125,True,0.1875,True
instruct,2.125,True,0.375,True
complex,2.125,True,0.3125,True
simple,-1.625,False,0.125,True
instruct,-1.625,False,0.25,True
complex,-1.625,False,0.4375,True
simple,-1.875,False,0.3125,True
instruct,-1.875,False,0.125,True
complex,-1.875,False,0.0625,True
simple,-2.75,False,-0.1875,False
instruct,-2.75,False,0.1875,True
complex,-2.75,False,0.3125,True
simple,-2.875,False,0.0,False
instruct,-2.875,False,0.1875,True
complex,-2.875,False,0.125,True
simple,-0.375,False,0.125,True
instruct,-0.375,False,0.1875,True
complex,-0.375,False,0.25,True
simple,-0.625,False,0.0,False
instruct,-0.625,False,0.25,True
complex,-0.625,False,0.0,False
simple,-1.25,False,-0.1875,False
instruct,-1.25,False,-0.125,False
complex,-1.25,False,0.1875,True
simple,-1.875,False,-0.25,False
instruct,-1.875,False,-0.0625,False
complex,-1.875,False,0.1875,True
simple,-0.625,False,0.6875,True
instruct,-0.625,False,0.5,True
complex,-0.625,False,0.1875,True
simple,0.125,True,-0.1875,False
instruct,0.125,True,0.125,True
complex,0.125,True,-0.0625,False
simple,-3.75,False,-0.0625,False
instruct,-3.75,False,0.4375,True
complex,-3.75,False,0.0,False
simple,-2.25,False,-0.75,False
instruct,-2.25,False,-0.625,False
complex,-2.25,False,0.0625,True
simple,-2.125,False,-0.0625,False
instruct,-2.125,False,0.25,True
complex,-2.125,False,0.1875,True
simple,-0.375,False,0.0,False
instruct,-0.375,False,0.5625,True
complex,-0.375,False,0.0,False
simple,-1.625,False,0.3125,True
instruct,-1.625,False,0.6875,True
complex,-1.625,False,0.5,True
simple,-3.0,False,-0.0625,False
instruct,-3.0,False,0.3125,True
complex,-3.0,False,0.125,True
simple,0.4375,True,-0.6875,False
instruct,0.4375,True,-0.3125,False
complex,0.4375,True,-0.0625,False
simple,-0.75,False,0.375,True
instruct,-0.75,False,0.5625,True
complex,-0.75,False,0.1875,True
simple,-0.3125,False,-0.5,False
instruct,-0.3125,False,-0.125,False
complex,-0.3125,False,0.125,True
simple,0.0,False,0.1875,True
instruct,0.0,False,0.125,True
complex,0.0,False,0.25,True
simple,-1.625,False,0.125,True
instruct,-1.625,False,0.375,True
complex,-1.625,False,0.1875,True
simple,-1.625,False,-0.0625,False
instruct,-1.625,False,-0.0625,False
complex,-1.625,False,0.125,True
simple,0.375,True,-0.5,False
instruct,0.375,True,-0.1875,False
complex,0.375,True,0.125,True
simple,1.5,True,0.1875,True
instruct,1.5,True,0.625,True
complex,1.5,True,-0.1875,False
simple,-2.0,False,-0.1875,False
instruct,-2.0,False,0.25,True
complex,-2.0,False,0.125,True
simple,0.125,True,-0.5625,False
instruct,0.125,True,-0.1875,False
complex,0.125,True,0.125,True
simple,-3.75,False,-0.0625,False
instruct,-3.75,False,0.125,True
complex,-3.75,False,0.0625,True
simple,0.125,True,0.375,True
instruct,0.125,True,0.3125,True
complex,0.125,True,0.1875,True
simple,-1.5,False,0.375,True
instruct,-1.5,False,0.4375,True
complex,-1.5,False,0.0625,True
simple,-2.75,False,-0.125,False
instruct,-2.75,False,0.0625,True
complex,-2.75,False,0.3125,True
simple,-3.0,False,-0.0625,False
instruct,-3.0,False,0.25,True
complex,-3.0,False,0.125,True
simple,-1.0,False,-0.25,False
instruct,-1.0,False,0.0,False
complex,-1.0,False,0.3125,True
