prompt_type,direct_difference,direct_correct,meta_difference,meta_correct
simple,0.026597023010253906,True,0.047722816467285156,True
instruct,0.026597023010253906,True,0.009303092956542969,True
complex,0.026597023010253906,True,0.01963329315185547,True
simple,0.04766082763671875,True,0.04107093811035156,True
instruct,0.04766082763671875,True,0.005406379699707031,True
complex,0.04766082763671875,True,0.02169036865234375,True
simple,0.021271705627441406,True,0.057297706604003906,True
instruct,0.021271705627441406,True,0.014060020446777344,True
complex,0.021271705627441406,True,0.01949024200439453,True
simple,0.03938579559326172,True,0.06580352783203125,True
instruct,0.03938579559326172,True,0.01751995086669922,True
complex,0.03938579559326172,True,0.011205673217773438,True
simple,0.02239990234375,True,0.09924983978271484,True
instruct,0.02239990234375,True,0.042324066162109375,True
complex,0.02239990234375,True,0.03117656707763672,True
simple,0.039946556091308594,True,0.0767822265625,True
instruct,0.039946556091308594,True,0.02364063262939453,True
complex,0.039946556091308594,True,0.022207260131835938,True
simple,0.03345775604248047,True,0.0680084228515625,True
instruct,0.03345775604248047,True,0.013250350952148438,True
complex,0.03345775604248047,True,0.023101806640625,True
simple,0.03512382507324219,True,0.07302284240722656,True
instruct,0.03512382507324219,True,0.026287078857421875,True
complex,0.03512382507324219,True,0.016129493713378906,True
simple,0.03281879425048828,True,0.08621025085449219,True
instruct,0.03281879425048828,True,0.03133201599121094,True
complex,0.03281879425048828,True,0.022045135498046875,True
simple,0.028110504150390625,True,0.08010387420654297,True
instruct,0.028110504150390625,True,0.03012561798095703,True
complex,0.028110504150390625,True,0.02306365966796875,True
simple,0.04562950134277344,True,0.06493663787841797,True
instruct,0.04562950134277344,True,0.019474029541015625,True
complex,0.04562950134277344,True,0.017182350158691406,True
simple,0.02588367462158203,True,0.06959819793701172,True
instruct,0.02588367462158203,True,0.0263671875,True
complex,0.02588367462158203,True,0.022214889526367188,True
simple,0.025953292846679688,True,0.08966541290283203,True
instruct,0.025953292846679688,True,0.01744556427001953,True
complex,0.025953292846679688,True,0.029794692993164062,True
simple,0.030480384826660156,True,0.07650566101074219,True
instruct,0.030480384826660156,True,0.03910255432128906,True
complex,0.030480384826660156,True,0.022622108459472656,True
simple,0.020605087280273438,True,0.08405208587646484,True
instruct,0.020605087280273438,True,0.043053627014160156,True
complex,0.020605087280273438,True,0.029354095458984375,True
