prompt_type,direct_difference,direct_correct,meta_difference,meta_correct
simple,0.0038471221923828125,True,0.07276535034179688,True
instruct,0.0038471221923828125,True,0.08631706237792969,True
complex,0.0038471221923828125,True,0.027538299560546875,True
simple,0.003673553466796875,True,0.0788278579711914,True
instruct,0.003673553466796875,True,0.07168197631835938,True
complex,0.003673553466796875,True,0.02634906768798828,True
simple,-0.0014944076538085938,False,0.09223175048828125,True
instruct,-0.0014944076538085938,False,0.09610843658447266,True
complex,-0.0014944076538085938,False,0.03545379638671875,True
simple,0.017251014709472656,True,0.11171340942382812,True
instruct,0.017251014709472656,True,0.1067342758178711,True
complex,0.017251014709472656,True,0.037764549255371094,True
simple,-0.008955001831054688,False,0.08337593078613281,True
instruct,-0.008955001831054688,False,0.09260082244873047,True
complex,-0.008955001831054688,False,0.021645545959472656,True
simple,-0.0034532546997070312,False,0.08487319946289062,True
instruct,-0.0034532546997070312,False,0.08726024627685547,True
complex,-0.0034532546997070312,False,0.038071632385253906,True
simple,0.010760307312011719,True,0.0695199966430664,True
instruct,0.010760307312011719,True,0.0796194076538086,True
complex,0.010760307312011719,True,0.032962799072265625,True
simple,0.007232666015625,True,0.08998680114746094,True
instruct,0.007232666015625,True,0.08221721649169922,True
complex,0.007232666015625,True,0.02804279327392578,True
simple,-7.2479248046875e-05,False,0.08936882019042969,True
instruct,-7.2479248046875e-05,False,0.09741687774658203,True
complex,-7.2479248046875e-05,False,0.035938262939453125,True
simple,-0.0033407211303710938,False,0.0796966552734375,True
instruct,-0.0033407211303710938,False,0.07770442962646484,True
complex,-0.0033407211303710938,False,0.0382537841796875,True
simple,0.007510185241699219,True,0.0980672836303711,True
instruct,0.007510185241699219,True,0.10079002380371094,True
complex,0.007510185241699219,True,0.033127784729003906,True
simple,-0.010911941528320312,False,0.07723712921142578,True
instruct,-0.010911941528320312,False,0.0896921157836914,True
complex,-0.010911941528320312,False,0.035109519958496094,True
simple,-0.014314651489257812,False,0.09012794494628906,True
instruct,-0.014314651489257812,False,0.114349365234375,True
complex,-0.014314651489257812,False,0.03912925720214844,True
simple,-0.0091552734375,False,0.10240840911865234,True
instruct,-0.0091552734375,False,0.10354328155517578,True
complex,-0.0091552734375,False,0.04102516174316406,True
simple,0.009447097778320312,True,0.10671329498291016,True
instruct,0.009447097778320312,True,0.10339927673339844,True
complex,0.009447097778320312,True,0.03023529052734375,True
simple,-0.025132179260253906,False,0.08058834075927734,True
instruct,-0.025132179260253906,False,0.0900869369506836,True
complex,-0.025132179260253906,False,0.04284477233886719,True
simple,0.004176139831542969,True,0.06844806671142578,True
instruct,0.004176139831542969,True,0.07914257049560547,True
complex,0.004176139831542969,True,0.006932258605957031,True
simple,-0.014581680297851562,False,0.10561370849609375,True
instruct,-0.014581680297851562,False,0.10229110717773438,True
complex,-0.014581680297851562,False,0.030391693115234375,True
simple,0.014395713806152344,True,0.09216499328613281,True
instruct,0.014395713806152344,True,0.0999288558959961,True
complex,0.014395713806152344,True,0.034526824951171875,True
simple,0.007781028747558594,True,0.08241844177246094,True
instruct,0.007781028747558594,True,0.09893417358398438,True
complex,0.007781028747558594,True,0.02092742919921875,True
simple,-0.012713432312011719,False,0.1014108657836914,True
instruct,-0.012713432312011719,False,0.10033416748046875,True
complex,-0.012713432312011719,False,0.042084693908691406,True
simple,-0.004773139953613281,False,0.08330059051513672,True
instruct,-0.004773139953613281,False,0.08871936798095703,True
complex,-0.004773139953613281,False,0.02873706817626953,True
simple,-0.006545066833496094,False,0.10468864440917969,True
instruct,-0.006545066833496094,False,0.10342597961425781,True
complex,-0.006545066833496094,False,0.04135417938232422,True
simple,0.01544952392578125,True,0.08376598358154297,True
instruct,0.01544952392578125,True,0.08315658569335938,True
complex,0.01544952392578125,True,0.03478717803955078,True
simple,-0.026490211486816406,False,0.0854043960571289,True
instruct,-0.026490211486816406,False,0.10281085968017578,True
complex,-0.026490211486816406,False,0.03854179382324219,True
simple,-0.009013175964355469,False,0.09444046020507812,True
instruct,-0.009013175964355469,False,0.08130264282226562,True
complex,-0.009013175964355469,False,0.021442413330078125,True
simple,-0.011159896850585938,False,0.09436225891113281,True
instruct,-0.011159896850585938,False,0.10123634338378906,True
complex,-0.011159896850585938,False,0.03309154510498047,True
simple,0.008681297302246094,True,0.11701393127441406,True
instruct,0.008681297302246094,True,0.1058492660522461,True
complex,0.008681297302246094,True,0.02783679962158203,True
simple,0.012154579162597656,True,0.0902719497680664,True
instruct,0.012154579162597656,True,0.0954446792602539,True
complex,0.012154579162597656,True,0.03658103942871094,True
simple,-0.024933815002441406,False,0.08328914642333984,True
instruct,-0.024933815002441406,False,0.0939779281616211,True
complex,-0.024933815002441406,False,0.02491474151611328,True
simple,0.0029859542846679688,True,0.10470390319824219,True
instruct,0.0029859542846679688,True,0.09348583221435547,True
complex,0.0029859542846679688,True,0.031350135803222656,True
simple,-0.019288063049316406,False,0.09843826293945312,True
instruct,-0.019288063049316406,False,0.087554931640625,True
complex,-0.019288063049316406,False,0.03125953674316406,True
simple,0.014731407165527344,True,0.10380172729492188,True
instruct,0.014731407165527344,True,0.10133075714111328,True
complex,0.014731407165527344,True,0.03772449493408203,True
simple,0.009200096130371094,True,0.08347415924072266,True
instruct,0.009200096130371094,True,0.0691070556640625,True
complex,0.009200096130371094,True,0.003055572509765625,True
simple,-0.012708663940429688,False,0.08330154418945312,True
instruct,-0.012708663940429688,False,0.09669017791748047,True
complex,-0.012708663940429688,False,0.04027748107910156,True
simple,0.0010805130004882812,True,0.07840156555175781,True
instruct,0.0010805130004882812,True,0.09177589416503906,True
complex,0.0010805130004882812,True,0.032731056213378906,True
simple,0.0007495880126953125,True,0.09173297882080078,True
instruct,0.0007495880126953125,True,0.09425926208496094,True
complex,0.0007495880126953125,True,0.03570270538330078,True
simple,0.008172035217285156,True,0.06996440887451172,True
instruct,0.008172035217285156,True,0.07384014129638672,True
complex,0.008172035217285156,True,0.04089832305908203,True
simple,-0.0029935836791992188,False,0.09777069091796875,True
instruct,-0.0029935836791992188,False,0.09465885162353516,True
complex,-0.0029935836791992188,False,0.02822399139404297,True
simple,-0.01850414276123047,False,0.07188034057617188,True
instruct,-0.01850414276123047,False,0.0921487808227539,True
